name,description,salary_from,salary_to,salary_currency,experience,employer_name,schedule_label,employment_label,country_name,role_name,skills,hard_skills,soft_skills,mbti
Графический дизайнер,"Всем привет! Разыскивается крутой специалист в нашу большую и дружную YouTube команду.Обязанности:  Создание превью Графическое наполнение статей    Требования:  Знание основных правил типографики; Умение работать в Photoshop (версия не ниже CC 2015); Знание английского языка будет преимуществом; Креативное мышление и способность работать с любым ТЗ; Опыт, наличие портфолио обязательно; Готовность выполнить тестовое задание.    Условия:  Достойную стабильную оплату труда успешным дизайнерам, сопоставимую с полноценной зарплатой за работу в офисе. Комфортный график работы: вы сами планируете свой рабочий день, главное - укладываться в дедлайны.",40000,75000,RUR,0,C. S.,Полный день,Полная занятость,Россия,"Дизайнер, художник","Adobe Photoshop, Обучаемость и адаптивность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Креативное мышление",[Adobe Photoshop],"[Обучаемость и адаптивность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Креативное мышление]",ESTP
Графический дизайнер,"Всем привет! Разыскивается крутой специалист в нашу большую и дружную YouTube команду.Обязанности:  Создание превью Графическое наполнение статей    Требования:  Знание основных правил типографики; Умение работать в Photoshop (версия не ниже CC 2015); Знание английского языка будет преимуществом; Креативное мышление и способность работать с любым ТЗ; Опыт, наличие портфолио обязательно; Готовность выполнить тестовое задание.    Условия:  Достойную стабильную оплату труда успешным дизайнерам, сопоставимую с полноценной зарплатой за работу в офисе. Комфортный график работы: вы сами планируете свой рабочий день, главное - укладываться в дедлайны.",40000,75000,RUR,0,C. S.,Полный день,Полная занятость,Россия,"Дизайнер, художник","Adobe Photoshop, Обучаемость и адаптивность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Креативное мышление",[Adobe Photoshop],"[Обучаемость и адаптивность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Креативное мышление]",ESTP
Офис-менеджер,Обязанности:  вести корреспонденцию печатать проекты и сшивать обработка проектов (перевод в ПДФ) согласование с местными исполнительными органами  Требования:  пунктуальность аккуратность знание ПК Microsoft Office AutoCAD желательно но можно и без знания  Условия:  9:00 - 18:00 пн-пт,100000,130000,KZT,0,DC Group,Полный день,Полная занятость,Казахстан,Офис-менеджер,"Информационная грамотность, Работа с оргтехникой",[Работа с оргтехникой],[Информационная грамотность],ISTJ
Менеджер по наружной рекламе (Project manager),"О Компании: Первое рекламное агентство полного цикла (ООО &quot;Агентство-реклама&quot;) открыла набор на вакансию Менеджера по наружной рекламе (Project manager). Мы специализируемся на изготовлении и монтаже наружной и интерьерной рекламы: Крышные конструкции, стелы, пилоны, объемные световые буквы, вывески. Не стандартное оформление помещений и входных групп. Что нужно делать: Ты реализуешь проекты по всей территории РФ. Мы постоянно пополняем свою базу постоянными клиентами. Ты становишься проводником для наших клиентов – менеджером в производство наружной и интерьерной рекламы. Ты подготавливаешь коммерческое предложение клиенту, - производишь расчет, по мере необходимости корректируешь КП и подстраиваешься под возможности и пожелания нашего заказчика. Ты постоянно мониторишь рынок и развиваешь базу поставщиков и подрядчиков. Проводишь тендеры поставщиков и производителей рекламной продукции, в том числе в регионах. Ведешь проект от его начала и до конца - от сметы до монтажа, контролируешь каждый процесс производства, качество и сроки. Работаешь в программах CRM. Весь документооборот по своим проектам ведешь самостоятельно с бухгалтерией и подрядчиками. Каждый новый запрос – это не просто задача, а потенциальный проект. Это все не сложно, если у тебя действительно есть опыт в нашей сфере. Кого мы видим в нашей команде: Ты работал в направлении наружной и интерьерной рекламы более 5-ти лет. И ты понимаешь технические процессы всего производства. Ты понимаешь и легко ориентируешься в материалах. Ты имеешь опыт реализации проектов дистанционно в регионах РФ. Нестандартные решения для тебя — это вызов и возможность усовершенствовать свои профессиональные навыки. Ты обладаешь большими знаниями рынка услуг, задача сделать что-то не в рамках стандарта не поставит тебя в тупик. Ты на столько понимаешь производственные процессы, что готов представлять свое экспертное мнение в производстве наружной и интерьерной рекламы. Ты владеешь графическими программами Adobe Photoshop, Adobe Illustrator, CorelDraw Планирование рабочего дня для тебя не составляет труда, ты легко выстраиваешь приоритетность задач и всё успеваешь. Что мы предлагаем: Официальное оформление согласно ТК РФ. Высокий фиксированный и стабильный доход. График работы: 5/2 с 9:00 до 18:00 или с 10:00 до 19:00. Работа в динамично развивающейся копании. Участие в реализации интересных проектов.",70000,150000,RUR,3-6,Агентство-Реклама,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Adobe Illustrator, Adobe Photoshop, CorelDRAW, Инициативность, Ответственность и проактивность, Работа с жилой недвижимостью, Подготовка коммерческих предложений, Многозадачность, Самоорганизованность, Управление проектами","[Adobe Illustrator, Adobe Photoshop, CorelDRAW, Работа с жилой недвижимостью, Подготовка коммерческих предложений, Управление проектами]","[Инициативность, Ответственность и проактивность, Самоорганизованность]",ESTJ
Менеджер по продажам в веб-студию,"Привет! Современная и перспективная веб-студия ищет крутого и энергичного менеджера по продажам. Мы не сидим ровно под звуки прибоя, мы меняем рынок! Обязанности:  холодный поиск клиентов (обзвон, email рассылки и соц сети) ведение AMO CRM проведение встреч/ презентаций составление и просчет КП и смет совместно с проджект менеджером взаимодействие с клиентом до момента заключения договора  Требования:  высшее/ неполное высшее образование постоянная занятость коммуникабельность понимание логики холодных продаж стрессоустойчивость опыт работы в области IT, веб или мобильной разработки от 1 года выполнение поставленных KPI  Условия:  оклад 200 тыс + бонусная часть возможность удаленной работы возможен рост внутри компании до руководителя отдела продаж  Внимание! В качестве первого этапа собеседования потребуется пройти небольшой тест и записать видео с рассказом о себе.",200000,500000,RUR,1-3,Гуси-Лебеди,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Работа в CMS-системах, Поиск и привлечение новых клиентов, Коммуникативная грамотность, Публичные выступления и проведение презентаций, Публичные выступления и проведение презентаций, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов, Публичные выступления и проведение презентаций, Поиск и привлечение новых клиентов, Управление проектами","[Работа в CMS-системах, Поиск и привлечение новых клиентов, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Управление проектами]","[Коммуникативная грамотность, Публичные выступления и проведение презентаций, Публичные выступления и проведение презентаций, Публичные выступления и проведение презентаций]",ENTP
Ассистент руководителя / Помощник руководителя,"Привет! На связи Мурат, основатель агентства.«ALLIGATOR MEDIA» – агентство которое специализируется на продвижении компании в социальных сетях, на площадках Яндекс, SMM, Разработке сайтов, SEO, SERMМы постоянно развиваемся, на сегодняшний день в нашей команде более 15 специалистов, и мы все время находимся в поиске людей, открытых новому и готовых к продуктивной, интересной работе.Специализация агентства: Производство, Стоматологии, Медицинские центры, Строительство, Онлайн школы, Бренды одежды, Интернет-магазины Обязанности:   Личные поручения руководителя;     Ведение деловой переписки;   Прием входящих звонков   Работа в Google таблицах, презентациях, exсel, CRM-системе, hh.ru;   Обеспечение документооборота компании: входящая и исходящая корреспонденция, регистрация, отправка по почте/электронной почте/ЭДО, учет, хранение, архивирование документов;   Организация обеспечения офиса канцтоварами, расходными материалами и иными товарно-материальными ценностями, необходимыми для работы офиса;   Организация рабочих мест для сотрудников;   Осуществление контроля за надлежащим состоянием офисного оборудования;   Ведение кадрового делопроизводства (поиск, прием, сопровождение сотрудников, составление и подписание необходимых документов);   Формирование бюджета расходов на офисные нужды, сдача отчетов о расходах;   Принимать активное участие в организации корпоративных мероприятий и поздравлений сотрудников со знаковыми датами;   Взаимодействие с менеджерами по продажам и бухгалтером.   Составление коммерческих предложений.   Составление договоров, ведение реестра договоров.   Отправка клиентам счетов, актов сверки, актов оказания услуг.   Требования:   Знание основ документооборота.   Опыт работы в 1С: Предприятие будет вашим преимуществом.   Уверенное пользование ПК: Google-таблицы, Word, Excel, Telegram, Whats App и прочие базовые программы, СБИС.   Грамотное владение устной/письменной речью.   Коммуникабельность, ответственность, внимательность, доброжелательность, стремление к постоянному профессиональному развитию.   Хорошие организаторские способности.",35000,75000,RUR,1-3,ALLIGATOR MEDIA,Полный день,Полная занятость,Россия,"Секретарь, помощник руководителя, ассистент","Техническая поддержка пользователей, Коммуникативная грамотность, Коммуникативная грамотность, Организаторские навыки, Ведение бухгалтерского учета, Организаторские навыки, Самоорганизованность, Создание презентационных материалов, Техническая поддержка пользователей, Испытания приборов и оборудования, Базовые знания ПК","[Техническая поддержка пользователей, Ведение бухгалтерского учета, Создание презентационных материалов, Техническая поддержка пользователей, Испытания приборов и оборудования, Базовые знания ПК]","[Коммуникативная грамотность, Коммуникативная грамотность, Организаторские навыки, Организаторские навыки, Самоорганизованность]",ESTJ
Менеджер по продажам (со знанием английского),"Открыт филиал в Казахстане. Привилегии менеджеров:  ДМС; дополнительные оплачиваемые дни к отпуску; посещение мероприятий; бонусы: квартальная премия 50000 руб., абонемент в фитнес, отдых на курорте, гаджеты и т.п.  Мотивация менеджера:  Оклад 40 000 + высокий % от оплаченной сделки; Отсутствие «потолка» в зп, нет штрафов;  Что НЕ делают наши менеджеры:  НЕ ездят по клиентам на встречи(работают в комфортном офисе ); НЕ заполняют много разных отчетов (все автоматизировано, и считается само); НЕ оформляют всякие документы (для этого есть отдельный отдел); НЕ делают работу за другие отделы (у каждого отдела свои задачи).  Задача менеджера по продажам - продавать участие в закрытых мероприятиях (саммитах), компаниям нефтегазового и топливно-энергетического секторов, по телефону с помощью отработанной системы продаж (есть рабочие скрипты переговоров, обучение и наставники). 70% рабочего времени менеджера занимают переговоры/продажи по телефону, 30% сбор информации аналитическая работа.   Холодные звонки по телефону. ОБУЧАЕМ! Стажировка оплачивается. Есть реальные карьерные перспективы. График работы: на выбор с 09-00 до 18-00 или с 10-00 до 19-00, СБ и ВС выходные, переработки отсутствуют. Также отсутствует строгий дресс-код! О Компании: Компания ENSO - является ведущей компанией в России, которая занимается организацией и проведением мероприятий в нефтегазовой отрасли, в т.ч. широкомасштабных Саммитов не только всероссийского, но и мирового уровня. И работает на рынке уже 10 лет. Наш продукт – детально проработанные мероприятия в формате «Саммит», нацеленные на привлечение ключевых специалистов высшего и среднего менеджмента организаций ТЭК, IT, металлургической промышленности. В 2018 году по результатам независимого исследования агентства Insideconference Компания ENSO вошла в рейтинг ТОП 100 организаторов конференций на российском рынке, в том числе и среди иностранных игроков, оперирующих в России. На 2023 год, таких мероприятий запланировано больше двадцати. Все мероприятия проходят на международном уровне на площадках 5-звездочных гостиниц класса люкс в Москве. На данный момент в Компании ENSO работает более 50 сотрудников, в четырех филиалах: г. Челябинск, г. Екатеринбург, Новосибирск, Санкт-Петербург,Не является договором оферты",65000,95000,RUR,0,ЭНСО,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Знание английского языка, Коммуникативная грамотность, Коммуникативная грамотность, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов, Коммуникативная грамотность","[Знание английского языка, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов]","[Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность]",ENTP
Торговый представитель,"Дистрибьютор продуктов питания приглашает в команду Торгового представителя по г.Тула (Зареченский р-н + Пролетарский р-н), Венев, Алексин. Продукция, с которой предстоит работать: масла, соусы, кисломолочные продукты (Altero, Слобода, Hi) от одного из крупнейших производителей в России. Территория: г. Тула (Зареченский р-н + Пролетарский р-н), Венев, Алексин. Обязанности:  Вести и развивать Активную Клиентскую Базу; Регулярно посещать торговые точки и обеспечивать реализацию продукции; Выстраивать партнерские отношения с клиентами; Обеспечивать наиболее выгодное размещение продукции на торговой площади.  Требования:  Опыт работы торговым представителем от 1 года. Разъездной характер работы (транспорт не предоставляется). Уверенный пользователь MS Office, навыки работы с отчетностью. Отличные коммуникативные навыки, опыт ведения переговоров Ориентация на результат, умение достигать поставленных целей. Ответственность, дисциплинированность  Условия:  Полная занятость: 5/2 по 8 часов. Выходные воскресенье и понедельник. Предусмотрена компенсация ГСМ (9000 рублей). Предусмотрена компенсация сотовой связи (500 рублей).",61000,66000,RUR,1-3,TRproject,Полный день,Полная занятость,Россия,Торговый представитель,"Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Коммуникативная грамотность, Целеустремленность и работоспособность, Коммуникативная грамотность","[Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов]","[Коммуникативная грамотность, Целеустремленность и работоспособность, Коммуникативная грамотность]",ESTP
Супервайзер в отдел продаж,"В связи с расширением каналов продаж в Компании - лидера сотовой связи в России, открыта вакантная должность Супервайзера - руководителя отдела продаж телемаркетинга. Что мы Вам предлагаем:  Фиксированный оклад + KPI; График: 5/2 с 11:00 до 20:00 или с 12:00 до 21:00, сб, вск – выходные; Компания предоставляет все необходимые для работы инструменты; Дружный молодой коллектив.  Чем Вам предстоит заниматься:  Организация эффективной команды сотрудников (8-12 сотрудников в подчинении); Обучение сотрудников и их адаптация; Организация, проведение и контроль промо – мероприятий; Ведение ежедневной статистики по результатам работы агентов; Организация продаж команды агентов, достижение плановых показателей.  Что мы ожидаем от Вас:  Опыт в сфере продаж на руководящей должности; Знание техник продаж, умение применять их на практике; Отличные организаторские способности; Развитые коммуникативные навыки; Навыки презентации; Опыт в сфере телекоммуникаций будет вашим преимуществом; Умение расположить к себе людей.    Остались вопросы - Звони! Ты тот, кого мы ищем!",51000,102000,RUR,1-3,Агентство мерчандайзинга АСМ,Полный день,Полная занятость,Россия,Руководитель отдела продаж,"Базовая инструментальная грамотность, Публичные выступления и проведение презентаций, Обучение техникам продаж, Организаторские навыки, Целеустремленность и работоспособность, Ответственность и проактивность, Системное и интегративное мышление, Самоорганизованность",[Обучение техникам продаж],"[Базовая инструментальная грамотность, Публичные выступления и проведение презентаций, Организаторские навыки, Целеустремленность и работоспособность, Ответственность и проактивность, Системное и интегративное мышление, Самоорганизованность]",ESTJ
Оператор цифровой печати / дизайнер,Обязанности:  Подготовка и проверка файлов для печати; Работа на цифровой машине Контроль качества и сроков изготовления; Контроль расходных материалов/бумаги и состояния техники.  Требования:  Знание материалов и процессов производства; Знание CorelDraw; Знание цифрового печатного оборудования; Умение планировать рабочий процесс;,150000,200000,KZT,1-3,4+4 Print,Полный день,Полная занятость,Казахстан,Другое,"Графический дизайн, Выполнение производственного технического контроля, Коммуникативная грамотность","[Графический дизайн, Выполнение производственного технического контроля]",[Коммуникативная грамотность],ISTJ
Офис-менеджер,"Привет! Мы рекламное агентство &quot;Домино&quot; Динамично развивающаяся рекламная компания, предоставляющая услуги по изготовлению и размещению наружной рекламы, широкоформатной и интерьерной печати, полиграфии, сувенирной продукции. Уже 20 лет мы помогаем зарабатывать нашим клиентам больше. Приглашаем в свою команду офис менеджера  Обязанности:  Встреча клиента, первичная консультация; Прием и распределение входящих звонков; Прием и обработка входящей и исходящей корреспонденции, делопроизводство; Вести переговоры и деловую переписку, соблюдая нормы делового этикета; Поддерживать положительный имидж компании у посетителей, партнеров и клиентов; Контроль работы курьерской службы и технического персонала; Обеспечение своевременной исправности офисного и хозяйственного оборудования; Формирование бюджета расходов на офисные нужды и обеспечение функционирования офиса: заказ канцтоваров, расходных материалов и т.д.; Ведение социальных сетей; Выполнение поручений руководства.    Требования:  Образование не ниже средне-специального; Уверенный пользователь ПК, оргтехники (MS Office, Internet, социальные сети); Знание стандартов делопроизводства; Владение нормами делового общения; Целеустремлённость, умение расставлять приоритеты в работе; Оптимизм, активная жизненная позиция, Пунктуальность, исполнительность, тактичность, неконфликтность, доброжелательность.    Условия:   Современный, комфортабельный офис в центре города, в 5-ти минутах ходьбы от Площади Советов (удобная транспортная развязка, рядом множество кафе);   Оборудована уютная кухонная комната для обеденного перерыва;   Официальное трудоустройство (в соответствии с ТК РФ);   Креативная, интересная работа в стабильной, активной, развивающейся рекламной компании;   График работы 5/2 с 9:00 до 18:00",25000,30000,RUR,1-3,"ДОМИНО, рекламная группа",Полный день,Полная занятость,Россия,Офис-менеджер,"Коммуникативная грамотность, Коммуникативная грамотность, Организаторские навыки, Базовые знания ПК",[Базовые знания ПК],"[Коммуникативная грамотность, Коммуникативная грамотность, Организаторские навыки]",ESFJ
PR-специалист,"Обязанности:  взаимодействие с представителями PR-служб, пресс-служб клиентов компании; копирайтинг: информационные материалы в разных жанрах: новости, пресс-релизы, аналитические статьи по профилю клиента (подготовка, согласование, размещение) постановка задач подрядчикам, контроль исполнения  Требования:   Профильное высшее образование (журналистика, связи с общественностью, маркетинг)   Грамотная письменная и устная речь  Умение излагать мысли в тексте, подтвержденное опытом подготовки пресс-релизов / статей / аналитических материалов (наличие портфолио)  Умение оперативно адаптироваться к новой теме/отрасли  Широкий кругозор и стремление учиться новому Навыки работы с социальными сетями VK и ОК Знание законодательства в сфере СМИ и рекламы Исполнительность, коммуникабельность, инициативность, готовность к работе в режиме многозадачности.  Условия:  фиксированная заработная плата (обсуждается на собеседовании) +премиальная в зависимости от выполнения KPI. офис в центре Выборга пятидневная рабочая неделя, полная занятость (возможно обсуждение гибкого графика)",35000,60000,RUR,1-3,Верные Решения,Полный день,Полная занятость,Россия,PR-менеджер,"Коммуникативная грамотность, Написание и редактирование текстов, Навыки корректирования текста, Написание и редактирование текстов, Многозадачность, Навыки написания пресс-релизов, Написание статей","[Написание и редактирование текстов, Навыки корректирования текста, Написание и редактирование текстов, Навыки написания пресс-релизов, Написание статей]",[Коммуникативная грамотность],ENFP
Менеджер проектов / Координатор,"Обязанности:  Консультация клиентов. Координация и ведение проектов. Ведение соц сетей. Заполнение и проверка договоров, другой документации. Выполнение остальных задач руководителя в рамках деятельности компании.  Требования:  Улыбчивость. Открытость. Грамотная речь. Грамотная письменная речь. Внимательность. Пунктуальность. Креатив. Оперативность. Клиентоориентированность. Требовательность к команде на проекте. Опытный пользователь ПК, оперативное составление КП. Навык монтажа коротких роликов для соц сетей, обработка фото, базовые знания оформления презентаций. Написание текстов. Навык деловой переписки.  Условия:  Удалённая разъездная работа + координация проектов в вечернее время. Оклад + мотивация (премия от новых сделок).",20000,60000,RUR,1-3,Эндорфин,Полный день,Полная занятость,Россия,Руководитель проектов,"Microsoft FrontPage, Microsoft Office, Коммуникативная грамотность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Консультирование и ведение клиентов, Креативное мышление, Креативное мышление, Прием и обслуживание клиентов, Публичные выступления и проведение презентаций, Коммуникативная грамотность, Базовые знания ПК, Организаторские навыки, Работа в команде, Многозадачность, Создание презентационных материалов, Коммуникативная грамотность, Креативное мышление, Многозадачность","[Microsoft FrontPage, Microsoft Office, Прием и обслуживание клиентов, Базовые знания ПК, Создание презентационных материалов]","[Коммуникативная грамотность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Консультирование и ведение клиентов, Креативное мышление, Креативное мышление, Публичные выступления и проведение презентаций, Коммуникативная грамотность, Организаторские навыки, Работа в команде, Коммуникативная грамотность, Креативное мышление]",ENFP
Менеджер по поиску клиентов в инстаграм,"Компания Writer’s Way 9 лет на рынке, занимаемся продюсированием, изданием и продвижением книг на заказ.В связи с ростом компании, увеличивается объём запросов и входящих клиентов. Поэтому открыта вакансия на постоянную работу менеджера по привлечению клиентов.Мы спродюсировали больше 80 книг с нуля. Некоторые из них стали бестселлерами. Обязанности:- работать в CRM Битрикс24- вести предварительное общение с клиентами в Instagram от 300 до 400 контактов в месяц- передавать в отдел продаж от 25 клиентов в месяц, которым интересна книгаТребования:- грамотная письменная речь- есть навыки продаж - большой плюс- работа минимум 3-4 часа в день. Тут важна стабильность, работать каждый день, тогда будет хороший результат- стабильный интернетУсловия:- понятная прозрачная система мотивации. Оклада нет. Оплата от 300 до 450 рублей за каждого выведенного на звонок клиента, расчет два раза в месяц. Наши менеджеры получают от 15 000 до 50 000 в зависимости от результативности.- работа удаленная.- выплаты раз в две недели- гибкий график работы- неординарная ниша. На вечеринке спросят, чем ты занимаешься-становишься гвоздем программы",15000,50000,RUR,0,Путь писателя,Удаленная работа,Частичная занятость,Россия,Координатор отдела продаж,"Базовая инструментальная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Базовые знания ПК, Коммуникативная грамотность",[Базовые знания ПК],"[Базовая инструментальная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность]",ENTP
Менеджер / оператор / телемаркетолог,"Более 18 лет агентство R-брокер создаёт эффективные решения в области интернет-рекламы и маркетинга для малого и среднего бизнеса. Мы предлагаем клиентам уникальные разработки для расширения возможностей управления рекламой и повышения эффективности бизнеса. R-брокер сегодня — это не только рекламные технологии и маркетинговые услуги. Последние несколько лет мы успешно занимаемся проектами в области повышения эффективности бизнес-процессов, внедрения инструментов речевой аналитики коммуникаций с использованием технологий искусственного интеллекта, а также тренажёров и спарринг-ботов для обучения специалистов. Удалённая работа!!!! Обязанности:  Исходящие звонки по предоставляемой базе; Установление контакта с ЛПР; Продажи; Отчетность по проделанной работе; Выявление потребностей клиентов об услугах реализуемых компанией; Ведение клиентской базы; Опыт проведения касдев интервью.  Требования:  Желание много зарабатывать; Работа в Битрикс24; Исполнительность, нацеленность на результат и развитие; Грамотный русский язык; Готовность к постоянному обучению, самообучению и интенсивной работе; Стрессоустойчивость; Выполнение KPI;  Хороший уровень коммуникативных навыков;   Базовые знания технологии продаж и правил коммуникации с клиентами.   Условия:  Удаленная работа; Испытательный срок: от 1 месяца (зависит от результатов работы и скорости погружения в задачи компании); График работы 5/2 с 10:00 до 19.00; Гибкая система мотивации: фикс - 40000 руб.+ бонусы.",35000,60000,RUR,1-3,R-брокер,Удаленная работа,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Коммуникативная грамотность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Клиентоориентированность, Целеустремленность и работоспособность, Анализ потребителей, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов, Базовые знания ПК, Работа в команде, Коммуникативная грамотность, Поиск и привлечение новых клиентов","[Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Анализ потребителей, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов, Базовые знания ПК, Поиск и привлечение новых клиентов]","[Коммуникативная грамотность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Клиентоориентированность, Целеустремленность и работоспособность, Работа в команде, Коммуникативная грамотность]",ESTP
